ADDRESS,POSTCODE,DESCRIPTION
9 Braxted Park,SW16 1CF,Single storey rear extension following demolition of existing conservatory
10 Braxted Park,SW16 1CF,Conversion of integral garage to habitable room
11 Braxted Park,SW16 1CF,Single storey rear extension following demolition of existing conservatory
12 Braxted Park,SW16 1CF,Conversion of integral garage to habitable room
17 Braxted Park,SW16 1CF,Loft conversion with rear dormer and two rooflights to front elevation
17 Braxted Park,SW16 1CF,Single storey rear extension following demolition of existing conservatory
19 Braxted Park,SW16 1CF,Loft conversion with rear dormer and two rooflights to front elevation
2 Hitherfield Road,SW16 2DG,Loft conversion with rear dormer and two rooflights to front elevation
3 Hitherfield Road,SW16 2DG,Side return extension and internal alterations at ground floor
4 Hitherfield Road,SW16 2DG,Loft conversion with rear dormer and two rooflights to front elevation
4 Hitherfield Road,SW16 2DG,Side return extension and internal alterations at ground floor
5 Hitherfield Road,SW16 2DG,Side return extension and internal alterations at ground floor
6 Hitherfield Road,SW16 2DG,Loft conversion with rear dormer and two rooflights to front elevation
8 Hitherfield Road,SW16 2DG,Single storey rear extension following demolition of existing conservatory
10 Hitherfield Road,SW16 2DG,Loft conversion with rear dormer and two rooflights to front elevation
17 Hitherfield Road,SW16 2DG,Loft conversion with rear dormer and two rooflights to front elevation
1 Mount Ephraim Lane,SW16 1EH,Loft conversion with rear dormer and two rooflights to front elevation
1 Mount Ephraim Lane,SW16 1EH,Single storey rear extension following demolition of existing conservatory
2 Mount Ephraim Lane,SW16 1EH,Loft conversion with rear dormer and two rooflights to front elevation
2 Mount Ephraim Lane,SW16 1EH,Conversion of integral garage to habitable room
5 Mount Ephraim Lane,SW16 1EH,Single storey rear extension following demolition of existing conservatory
6 Mount Ephraim Lane,SW16 1EH,Single storey rear extension following demolition of existing conservatory
6 Mount Ephraim Lane,SW16 1EH,Side return extension and internal alterations at ground floor
8 Mount Ephraim Lane,SW16 1EH,Side return extension and internal alterations at ground floor
11 Mount Ephraim Lane,SW16 1EH,Loft conversion with rear dormer and two rooflights to front elevation
11 Mount Ephraim Lane,SW16 1EH,Side return extension and internal alterations at ground floor
14 Mount Ephraim Lane,SW16 1EH,Single storey rear extension following demolition of existing conservatory
18 Mount Ephraim Lane,SW16 1EH,Conversion of integral garage to habitable room
20 Mount Ephraim Lane,SW16 1EH,Loft conversion with rear dormer and two rooflights to front elevation
7 Fishponds Road,SW17 2FJ,Single storey rear extension following demolition of existing conservatory
9 Fishponds Road,SW17 2FJ,Side return extension and internal alterations at ground floor
10 Fishponds Road,SW17 2FJ,Single storey rear extension following demolition of existing conservatory
11 Fishponds Road,SW17 2FJ,Loft conversion with rear dormer and two rooflights to front elevation
12 Fishponds Road,SW17 2FJ,Side return extension and internal alterations at ground floor
13 Fishponds Road,SW17 2FJ,Side return extension and internal alterations at ground floor
14 Fishponds Road,SW17 2FJ,Loft conversion with rear dormer and two rooflights to front elevation
15 Fishponds Road,SW17 2FJ,Loft conversion with rear dormer and two rooflights to front elevation
17 Fishponds Road,SW17 2FJ,Side return extension and internal alterations at ground floor
20 Fishponds Road,SW17 2FJ,Loft conversion with rear dormer and two rooflights to front elevation
3 Ansell Road,SW17 1GA,Side return extension and internal alterations at ground floor
4 Ansell Road,SW17 1GA,Loft conversion with rear dormer and two rooflights to front elevation
5 Ansell Road,SW17 1GA,Single storey rear extension following demolition of existing conservatory
7 Ansell Road,SW17 1GA,Side return extension and internal alterations at ground floor
8 Ansell Road,SW17 1GA,Loft conversion with rear dormer and two rooflights to front elevation
11 Ansell Road,SW17 1GA,Loft conversion with rear dormer and two rooflights to front elevation
11 Ansell Road,SW17 1GA,Single storey rear extension following demolition of existing conservatory
14 Ansell Road,SW17 1GA,Single storey rear extension following demolition of existing conservatory
15 Ansell Road,SW17 1GA,Single storey rear extension following demolition of existing conservatory
16 Ansell Road,SW17 1GA,Single storey rear extension following demolition of existing conservatory
17 Ansell Road,SW17 1GA,Single storey rear extension following demolition of existing conservatory
6 Brudenell Road,SW17 2HB,Loft conversion with rear dormer and two rooflights to front elevation
7 Brudenell Road,SW17 2HB,Single storey rear extension following demolition of existing conservatory
7 Brudenell Road,SW17 2HB,Side return extension and internal alterations at ground floor
8 Brudenell Road,SW17 2HB,Loft conversion with rear dormer and two rooflights to front elevation
9 Brudenell Road,SW17 2HB,Single storey rear extension following demolition of existing conservatory
10 Brudenell Road,SW17 2HB,Single storey rear extension following demolition of existing conservatory
11 Brudenell Road,SW17 2HB,Loft conversion with rear dormer and two rooflights to front elevation
11 Brudenell Road,SW17 2HB,Single storey rear extension following demolition of existing conservatory
12 Brudenell Road,SW17 2HB,Loft conversion with rear dormer and two rooflights to front elevation
15 Brudenell Road,SW17 2HB,Loft conversion with rear dormer and two rooflights to front elevation
18 Brudenell Road,SW17 2HB,Single storey rear extension following demolition of existing conservatory
18 Brudenell Road,SW17 2HB,Side return extension and internal alterations at ground floor
20 Brudenell Road,SW17 2HB,Loft conversion with rear dormer and two rooflights to front elevation
1 Ashvale Road,SW17 1JC,Loft conversion with rear dormer and two rooflights to front elevation
1 Ashvale Road,SW17 1JC,Single storey rear extension following demolition of existing conservatory
4 Ashvale Road,SW17 1JC,Side return extension and internal alterations at ground floor
5 Ashvale Road,SW17 1JC,Loft conversion with rear dormer and two rooflights to front elevation
5 Ashvale Road,SW17 1JC,Single storey rear extension following demolition of existing conservatory
6 Ashvale Road,SW17 1JC,Conversion of integral garage to habitable room
7 Ashvale Road,SW17 1JC,Single storey rear extension following demolition of existing conservatory
8 Ashvale Road,SW17 1JC,Single storey rear extension following demolition of existing conservatory
9 Ashvale Road,SW17 1JC,Side return extension and internal alterations at ground floor
10 Ashvale Road,SW17 1JC,Side return extension and internal alterations at ground floor
15 Ashvale Road,SW17 1JC,Side return extension and internal alterations at ground floor
15 Ashvale Road,SW17 1JC,Conversion of integral garage to habitable room
17 Ashvale Road,SW17 1JC,Conversion of integral garage to habitable room
18 Ashvale Road,SW17 1JC,Loft conversion with rear dormer and two rooflights to front elevation
19 Ashvale Road,SW17 1JC,Single storey rear extension following demolition of existing conservatory
19 Ashvale Road,SW17 1JC,Side return extension and internal alterations at ground floor
4 Selkirk Road,SW17 2AD,Loft conversion with rear dormer and two rooflights to front elevation
4 Selkirk Road,SW17 2AD,Single storey rear extension following demolition of existing conservatory
4 Selkirk Road,SW17 2AD,Side return extension and internal alterations at ground floor
5 Selkirk Road,SW17 2AD,Single storey rear extension following demolition of existing conservatory
7 Selkirk Road,SW17 2AD,Loft conversion with rear dormer and two rooflights to front elevation
9 Selkirk Road,SW17 2AD,Loft conversion with rear dormer and two rooflights to front elevation
16 Selkirk Road,SW17 2AD,Loft conversion with rear dormer and two rooflights to front elevation
17 Selkirk Road,SW17 2AD,Loft conversion with rear dormer and two rooflights to front elevation
18 Selkirk Road,SW17 2AD,Loft conversion with rear dormer and two rooflights to front elevation
19 Selkirk Road,SW17 2AD,Single storey rear extension following demolition of existing conservatory
20 Selkirk Road,SW17 2AD,Single storey rear extension following demolition of existing conservatory
