ADDRESS1,ADDRESS2,POSTCODE,PROPERTY_TYPE,BUILT_FORM,CONSTRUCTION_AGE_BAND,TOTAL_FLOOR_AREA,NUMBER_HABITABLE_ROOMS,WALLS_DESCRIPTION,ROOF_DESCRIPTION,WINDOWS_DESCRIPTION,MAINHEAT_DESCRIPTION,HOTWATER_DESCRIPTION,CURRENT_ENERGY_RATING,POTENTIAL_ENERGY_RATING,LODGEMENT_DATE,UPRN
18 Ellison Road,,SW16 2BE,Flat,Mid-Terrace,England and Wales: 1900-1929,82,4,"Solid brick, as built, no insulation (assumed)",(another dwelling above),Partial double glazing,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100020306
19 Ellison Road,,SW16 2BE,House,Mid-Terrace,England and Wales: 1900-1929,124,6,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,C,C,2023-05-14,100020323
20 Ellison Road,,SW16 2BE,House,Mid-Terrace,England and Wales: 1900-1929,127,6,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100020340
1 Braxted Park,,SW16 1CF,House,Semi-Detached,England and Wales: 1930-1949,102,5,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Partial double glazing,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100030017
2 Braxted Park,,SW16 1CF,Flat,Mid-Terrace,England and Wales: 1930-1949,91,4,"Cavity wall, as built, insulated (assumed)",(another dwelling above),Fully double glazed,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100030034
3 Braxted Park,,SW16 1CF,House,Semi-Detached,England and Wales: 1930-1949,127,6,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100030051
4 Braxted Park,,SW16 1CF,House,Semi-Detached,England and Wales: 1930-1949,104,5,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100030068
5 Braxted Park,,SW16 1CF,House,Semi-Detached,England and Wales: 1930-1949,97,4,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100030085
6 Braxted Park,,SW16 1CF,House,Semi-Detached,England and Wales: 1930-1949,117,5,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100030102
7 Braxted Park,,SW16 1CF,House,Semi-Detached,England and Wales: 1930-1949,115,5,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,C,C,2023-05-14,100030119
8 Braxted Park,,SW16 1CF,House,Semi-Detached,England and Wales: 1930-1949,114,5,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100030136
9 Braxted Park,,SW16 1CF,House,Semi-Detached,England and Wales: 1930-1949,110,5,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100030153
10 Braxted Park,,SW16 1CF,House,Semi-Detached,England and Wales: 1930-1949,104,5,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100030170
11 Braxted Park,,SW16 1CF,House,Semi-Detached,England and Wales: 1930-1949,101,5,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,C,C,2023-05-14,100030187
12 Braxted Park,,SW16 1CF,House,Semi-Detached,England and Wales: 1930-1949,103,5,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,C,C,2023-05-14,100030204
13 Braxted Park,,SW16 1CF,House,Semi-Detached,England and Wales: 1930-1949,122,6,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100030221
14 Braxted Park,,SW16 1CF,Flat,Mid-Terrace,England and Wales: 1930-1949,71,3,"Cavity wall, as built, insulated (assumed)",(another dwelling above),Fully double glazed,"Boiler and radiators, mains gas",From main system,C,C,2023-05-14,100030238
15 Braxted Park,,SW16 1CF,House,Semi-Detached,England and Wales: 1930-1949,111,5,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100030255
16 Braxted Park,,SW16 1CF,House,Semi-Detached,England and Wales: 1930-1949,115,5,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,C,C,2023-05-14,100030272
17 Braxted Park,,SW16 1CF,House,Semi-Detached,England and Wales: 1930-1949,112,5,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100030289
18 Braxted Park,,SW16 1CF,House,Semi-Detached,England and Wales: 1930-1949,110,5,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100030306
19 Braxted Park,,SW16 1CF,House,Semi-Detached,England and Wales: 1930-1949,126,6,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Partial double glazing,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100030323
20 Braxted Park,,SW16 1CF,House,Semi-Detached,England and Wales: 1930-1949,107,5,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,C,C,2023-05-14,100030340
1 Hitherfield Road,,SW16 2DG,House,End-Terrace,England and Wales: 1900-1929,126,6,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100040017
2 Hitherfield Road,,SW16 2DG,House,Mid-Terrace,England and Wales: 1900-1929,149,7,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100040034
3 Hitherfield Road,,SW16 2DG,House,Mid-Terrace,England and Wales: 1900-1929,133,6,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100040051
4 Hitherfield Road,,SW16 2DG,House,Mid-Terrace,England and Wales: 1900-1929,107,5,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Partial double glazing,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100040068
5 Hitherfield Road,,SW16 2DG,House,Mid-Terrace,England and Wales: 1900-1929,108,5,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100040085
6 Hitherfield Road,,SW16 2DG,House,Mid-Terrace,England and Wales: 1900-1929,132,6,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100040102
7 Hitherfield Road,,SW16 2DG,House,Mid-Terrace,England and Wales: 1900-1929,150,7,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100040119
8 Hitherfield Road,,SW16 2DG,House,Mid-Terrace,England and Wales: 1900-1929,103,5,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100040136
9 Hitherfield Road,,SW16 2DG,Flat,Mid-Terrace,England and Wales: 1900-1929,94,4,"Solid brick, as built, no insulation (assumed)",(another dwelling above),Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100040153
10 Hitherfield Road,,SW16 2DG,House,Mid-Terrace,England and Wales: 1900-1929,128,6,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,C,C,2023-05-14,100040170
11 Hitherfield Road,,SW16 2DG,House,Mid-Terrace,England and Wales: 1900-1929,103,5,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Partial double glazing,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100040187
12 Hitherfield Road,,SW16 2DG,House,Mid-Terrace,England and Wales: 1900-1929,148,7,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100040204
13 Hitherfield Road,,SW16 2DG,Flat,Mid-Terrace,England and Wales: 1900-1929,91,4,"Solid brick, as built, no insulation (assumed)",(another dwelling above),Fully double glazed,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100040221
14 Hitherfield Road,,SW16 2DG,House,Mid-Terrace,England and Wales: 1900-1929,126,6,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100040238
15 Hitherfield Road,,SW16 2DG,House,Mid-Terrace,England and Wales: 1900-1929,146,7,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Partial double glazing,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100040255
16 Hitherfield Road,,SW16 2DG,House,Mid-Terrace,England and Wales: 1900-1929,98,4,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Partial double glazing,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100040272
17 Hitherfield Road,,SW16 2DG,House,Mid-Terrace,England and Wales: 1900-1929,96,4,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Partial double glazing,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100040289
18 Hitherfield Road,,SW16 2DG,House,Mid-Terrace,England and Wales: 1900-1929,113,5,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100040306
19 Hitherfield Road,,SW16 2DG,House,Mid-Terrace,England and Wales: 1900-1929,138,6,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Partial double glazing,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100040323
20 Hitherfield Road,,SW16 2DG,Flat,Mid-Terrace,England and Wales: 1900-1929,76,3,"Solid brick, as built, no insulation (assumed)",(another dwelling above),Partial double glazing,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100040340
1 Mount Ephraim Lane,,SW16 1EH,House,End-Terrace,England and Wales: 1900-1929,102,5,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100050017
2 Mount Ephraim Lane,,SW16 1EH,House,Semi-Detached,England and Wales: 1930-1949,98,4,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100050034
3 Mount Ephraim Lane,,SW16 1EH,House,Semi-Detached,England and Wales: 1930-1949,113,5,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Partial double glazing,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100050051
4 Mount Ephraim Lane,,SW16 1EH,House,Mid-Terrace,England and Wales: 1900-1929,133,6,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100050068
5 Mount Ephraim Lane,,SW16 1EH,House,Semi-Detached,England and Wales: 1930-1949,108,5,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100050085
6 Mount Ephraim Lane,,SW16 1EH,House,Semi-Detached,England and Wales: 1930-1949,110,5,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100050102
7 Mount Ephraim Lane,,SW16 1EH,House,Mid-Terrace,England and Wales: 1900-1929,133,6,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100050119
8 Mount Ephraim Lane,,SW16 1EH,House,Semi-Detached,England and Wales: 1930-1949,111,5,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100050136
9 Mount Ephraim Lane,,SW16 1EH,House,Semi-Detached,England and Wales: 1930-1949,93,4,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100050153
10 Mount Ephraim Lane,,SW16 1EH,House,Semi-Detached,England and Wales: 1930-1949,110,5,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Partial double glazing,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100050170
11 Mount Ephraim Lane,,SW16 1EH,House,Mid-Terrace,England and Wales: 1900-1929,134,6,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Partial double glazing,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100050187
12 Mount Ephraim Lane,,SW16 1EH,House,Mid-Terrace,England and Wales: 1900-1929,104,5,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100050204
13 Mount Ephraim Lane,,SW16 1EH,Flat,Mid-Terrace,England and Wales: 1930-1949,91,4,"Cavity wall, as built, insulated (assumed)",(another dwelling above),Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100050221
14 Mount Ephraim Lane,,SW16 1EH,House,Mid-Terrace,England and Wales: 1900-1929,117,5,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Partial double glazing,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100050238
15 Mount Ephraim Lane,,SW16 1EH,House,Mid-Terrace,England and Wales: 1900-1929,107,5,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,C,C,2023-05-14,100050255
16 Mount Ephraim Lane,,SW16 1EH,House,Semi-Detached,England and Wales: 1930-1949,89,4,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100050272
17 Mount Ephraim Lane,,SW16 1EH,House,Mid-Terrace,England and Wales: 1900-1929,117,5,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Partial double glazing,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100050289
18 Mount Ephraim Lane,,SW16 1EH,House,Semi-Detached,England and Wales: 1930-1949,109,5,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100050306
19 Mount Ephraim Lane,,SW16 1EH,House,Semi-Detached,England and Wales: 1930-1949,114,5,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Partial double glazing,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100050323
20 Mount Ephraim Lane,,SW16 1EH,House,Mid-Terrace,England and Wales: 1900-1929,107,5,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100050340
1 Fishponds Road,,SW17 2FJ,House,End-Terrace,England and Wales: 1900-1929,116,5,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100060017
2 Fishponds Road,,SW17 2FJ,House,Mid-Terrace,England and Wales: 1900-1929,108,5,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100060034
3 Fishponds Road,,SW17 2FJ,House,Mid-Terrace,England and Wales: 1900-1929,100,5,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Partial double glazing,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100060051
4 Fishponds Road,,SW17 2FJ,House,Mid-Terrace,England and Wales: 1900-1929,123,6,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100060068
5 Fishponds Road,,SW17 2FJ,House,Mid-Terrace,England and Wales: 1900-1929,136,6,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,C,C,2023-05-14,100060085
6 Fishponds Road,,SW17 2FJ,House,Mid-Terrace,England and Wales: 1900-1929,147,7,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100060102
7 Fishponds Road,,SW17 2FJ,House,Mid-Terrace,England and Wales: 1900-1929,103,5,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100060119
8 Fishponds Road,,SW17 2FJ,House,Mid-Terrace,England and Wales: 1900-1929,109,5,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100060136
